"","lat","lon","type"
"1",37.6060115,126.9987234,"bell"
"2",37.6047095,127.0230189,"bell"
"3",37.6084722,127.0229097,"bell"
"4",37.6115773,127.0293579,"bell"
"5",37.6105079,127.028724,"bell"
"6",37.5855057,127.0094906,"bell"
"7",37.5856247,127.0234484,"bell"
"8",37.6008958,127.019369,"bell"
"9",37.592217,127.0189235,"bell"
"10",37.5899521,127.0189634,"bell"
"11",37.5896996,127.0215416,"bell"
"12",37.59455887,127.0197659,"bell"
"13",37.5954476,127.0206001,"bell"
"14",37.5938743,127.0205969,"bell"
"15",37.59395739,127.0173154,"bell"
"16",37.5964431,127.0192791,"bell"
"17",37.5954673,127.0164756,"bell"
"18",37.58927332,127.0065444,"bell"
"19",37.5888874,127.0080055,"bell"
"20",37.5908815,127.0107102,"bell"
"21",37.5928458,127.0139442,"bell"
"22",37.59789945,127.0214608,"bell"
"23",37.5994051,127.0221393,"bell"
"24",37.5967187,127.0196815,"bell"
"25",37.5862664,127.0181016,"bell"
"26",37.5843916,127.0178532,"bell"
"27",37.5832302,127.0197027,"bell"
"28",37.5804775,127.0200286,"bell"
"29",37.5800957,127.0194019,"bell"
"30",37.5788852,127.0215269,"bell"
"31",37.6087957,127.0697429,"bell"
"32",37.6055697,127.0594746,"bell"
"33",37.6075671,127.0613624,"bell"
"34",37.606181,127.0517463,"bell"
"35",37.6060518,127.0532768,"bell"
"36",37.6084734,127.0660907,"bell"
"37",37.605882,127.0609631,"bell"
"38",37.6122297,127.0640641,"bell"
"39",37.6113462,127.0601415,"bell"
"40",37.6102485,127.0613604,"bell"
"41",37.6088755,127.0625114,"bell"
"42",37.6095472,127.0621111,"bell"
"43",37.6132906,127.0627425,"bell"
"44",37.607908,127.0588041,"bell"
"45",37.60483,127.0609449,"bell"
"46",37.6065263,127.0598827,"bell"
"47",37.6067351,127.0516282,"bell"
"48",37.5939959,127.0002761,"bell"
"49",37.5885251,127.0040394,"bell"
"50",37.5929283,126.9926837,"bell"
"51",37.5938935,127.00148,"bell"
"52",37.5919792,127.0048324,"bell"
"53",37.5959672,126.9925244,"bell"
"54",37.5959234,126.9915056,"bell"
"55",37.59668662,126.9924087,"bell"
"56",37.59674428,126.9923181,"bell"
"57",37.58722615,127.0083829,"bell"
"58",37.5859511,127.0073798,"bell"
"59",37.5852153,127.0083962,"bell"
"60",37.588441,127.0126923,"bell"
"61",37.5874232,127.0130624,"bell"
"62",37.5847363,127.0133787,"bell"
"63",37.5880611,127.0147739,"bell"
"64",37.6058179,127.049847,"bell"
"65",37.6064723,127.0461964,"bell"
"66",37.6062049,127.0439857,"bell"
"67",37.6091659,127.0454598,"bell"
"68",37.6044161,127.0353254,"bell"
"69",37.607731,127.0356564,"bell"
"70",37.6094515,127.0346035,"bell"
"71",37.609342,127.0332299,"bell"
"72",37.6083032,127.0343341,"bell"
"73",37.6044845,127.0335476,"bell"
"74",37.6051355,127.044338,"bell"
"75",37.6015484,127.0426625,"bell"
"76",37.6034478,127.0405543,"bell"
"77",37.5878997,127.0235444,"bell"
"78",37.5870681,127.0245347,"bell"
"79",37.5840067,127.0220679,"bell"
"80",37.5829498,127.023163,"bell"
"81",37.5805787,127.0244156,"bell"
"82",37.589982,127.0281273,"bell"
"83",37.5850259,127.0300538,"bell"
"84",37.5829681,127.0286517,"bell"
"85",37.6190745,127.0473483,"bell"
"86",37.6160318,127.0474732,"bell"
"87",37.615839,127.041248,"bell"
"88",37.6184231,127.045679,"bell"
"89",37.6160507,127.0451237,"bell"
"90",37.6163526,127.0435737,"bell"
"91",37.6145593,127.0439863,"bell"
"92",37.6133771,127.0414348,"bell"
"93",37.6133806,127.039422,"bell"
"94",37.6129077,127.0447754,"bell"
"95",37.611721,127.0447668,"bell"
"96",37.6122701,127.0468144,"bell"
"97",37.6146134,127.0506991,"bell"
"98",37.6107939,127.0538329,"bell"
"99",37.6116295,127.0521936,"bell"
"100",37.6152397,127.0496989,"bell"
"101",37.6164628,127.0523202,"bell"
"102",37.6149221,127.051095,"bell"
"103",37.6097558,127.0472146,"bell"
"104",37.6146692,127.060026,"bell"
"105",37.6145421,127.057538,"bell"
"106",37.6167135,127.0538077,"bell"
"107",37.6154633,127.054083,"bell"
"108",37.6208384,127.0498813,"bell"
"109",37.6136919,127.0578126,"bell"
"110",37.6175736,127.0570206,"bell"
"111",37.6173767,127.0506142,"bell"
"112",37.601106,127.0208136,"bell"
"113",37.611155,127.0094518,"bell"
"114",37.6096402,127.0137259,"bell"
"115",37.61716809,127.0040821,"bell"
"116",37.6184236,126.9995073,"bell"
"117",37.601503,127.018814,"bell"
"118",37.6020449,127.0171252,"bell"
"119",37.6022454,127.0149108,"bell"
"120",37.6103279,127.0150511,"bell"
"121",37.6064825,127.0125966,"bell"
"122",37.6083774,127.0133485,"bell"
"123",37.6073617,127.0117072,"bell"
"124",37.6082482,127.0121293,"bell"
"125",37.60266892,127.0110708,"bell"
"126",37.5991334,127.0053668,"bell"
"127",37.5991334,127.0053668,"bell"
"128",37.6065638,127.0090732,"bell"
"129",37.6073726,127.0076332,"bell"
"130",37.6085241,127.0079577,"bell"
"131",37.6104782,127.0037637,"bell"
"132",37.6100424,127.0032655,"bell"
"133",37.6134428,127.0113855,"bell"
"134",37.6114207,127.0087471,"bell"
"135",37.5918318,127.0380243,"bell"
"136",37.5962108,127.0342775,"bell"
"137",37.5976448,127.033122,"bell"
"138",37.5939256,127.0324963,"bell"
"139",37.5924952,127.0351895,"bell"
"140",37.5928572,127.0338429,"bell"
"141",37.599191,127.0358719,"bell"
"142",37.5970269,127.0396504,"bell"
"143",37.5968664,127.0374284,"bell"
"144",37.5961173,127.0369455,"bell"
"145",37.5976814,127.0378199,"bell"
"146",37.5969222,126.9889275,"bell"
"147",37.5966451,126.9859326,"bell"
"148",37.5969676,126.9895961,"bell"
"149",37.5960817,126.9903193,"bell"
"150",37.5968014,126.9902926,"bell"
"151",37.5979452,126.9889646,"bell"
"152",37.5961482,126.9909321,"bell"
"153",37.5983434,126.9923361,"bell"
"154",37.5985546,126.9922631,"bell"
"155",37.6001521,126.9934261,"bell"
"156",37.597635,126.9904059,"bell"
"157",37.5999009,126.9946061,"bell"
"158",37.6006042,126.9957302,"bell"
"159",37.6002568,126.9950294,"bell"
"160",37.6016652,126.996417,"bell"
"161",37.6014351,126.9977598,"bell"
"162",37.6010945,126.9984826,"bell"
"163",37.5979147,126.9969067,"bell"
"164",37.5965924,126.9970513,"bell"
"165",37.5976808,126.9954615,"bell"
"166",37.59405236,126.9987771,"bell"
"167",37.5953722,126.9990551,"bell"
"168",37.5976228,126.9989241,"bell"
"169",37.5979101,127.0019948,"bell"
"170",37.5964882,127.0038019,"bell"
"171",37.5953622,127.0009542,"bell"
"172",37.5962519,126.9976306,"bell"
"173",37.5816196,127.0208435,"bell"
"174",37.6183506,127.0012108,"bell"
"175",37.5981417,127.0310783,"bell"
"176",37.5842219,127.0299103,"bell"
"177",37.5848963,127.0074176,"bell"
"178",37.6082717,127.0661387,"bell"
"179",37.6212087,127.0486475,"bell"
"180",37.6222466,127.0489719,"bell"
"181",37.5954862,127.0212405,"bell"
"182",37.6029567,127.0311721,"bell"
"183",37.5988221,127.0200768,"bell"
"184",37.6054707,127.0123902,"bell"
"185",37.590402,127.0089671,"bell"
"186",37.5910377,127.0045324,"bell"
"187",37.5876108,127.0046052,"bell"
"188",37.5871132,127.0102596,"bell"
"189",37.600616,127.0347233,"bell"
"190",37.6021283,127.0218454,"bell"
"191",37.6100571,127.0067096,"bell"
"192",37.6134418,127.0095528,"bell"
"193",37.6212903,127.0488631,"bell"
"194",37.6054777,127.0289683,"bell"
"195",37.6060512,127.0421719,"bell"
"196",37.6145458,127.0474434,"bell"
"197",37.6122406,127.0439537,"bell"
"198",37.6133028,127.0559147,"bell"
